OBJECTID,ZIP,ZIPCODE,COUNTY,SHAPE_Length,SHAPE_Area,Code
1,98031,98031,33,117508.2117,228012909.3,1
2,98032,98032,33,166737.6648,482675358,1
3,98033,98033,33,101363.8404,256674739.9,1
4,98034,98034,33,98550.45251,272507156.1,1
5,98030,98030,33,94351.26484,200095358.3,1
6,98027,98027,33,255232.0651,1640576278,1
7,98038,98038,33,316441.9562,1649846745,1
8,98039,98039,33,37222.72934,39346824.82,1
9,98040,98040,33,75519.64851,175584207.9,1
10,98042,98042,33,207993.1989,762420831.1,1
11,98026,98026,61,133289.4169,258888380.2,1
12,98023,98023,33,90832.43006,291140883.3,1
13,98022,98022,33,735799.7557,11359799651,1
14,98047,98047,53,19937.73019,19319883.99,1
15,98051,98051,33,211663.3389,1150005805,1
16,98052,98052,33,166796.7825,536057549.9,1
17,98053,98053,33,201103.973,774000614.9,1
18,98021,98021,61,101755.3962,273011415.7,1
19,98020,98020,61,65195.73388,143963387.8,1
20,98014,98014,33,227524.5269,1160183701,1
21,98012,98012,61,110807.6772,421686538.3,1
22,98011,98011,33,70949.06358,198270747,1
23,98010,98010,33,134236.9719,518248273.4,1
24,98036,98036,61,111757.191,267202389.9,1
25,98037,98037,61,78136.41426,168863902.5,1
26,98029,98029,33,111317.1407,270983417.6,1
27,98028,98028,33,75146.22935,173233183.2,1
28,98043,98043,61,46970.69118,115804610.6,1
29,98045,98045,33,632072.8891,8059174616,1
30,98024,98024,33,362554.8454,2181634333,1
31,98047,98047,33,40407.10324,48433350.2,1
32,98022,98022,53,295979.5906,2507633657,1
33,98019,98019,33,312688.5782,3189847389,1
34,98008,98008,33,93748.36776,153801769.1,1
35,98101,98101,33,23619.02893,14700123,1
36,98102,98102,33,37488.78817,43221885.64,1
37,98007,98007,33,113480.5859,115790428.9,1
38,98006,98006,33,107698.2464,322939060.2,1
39,98005,98005,33,116409.3383,211364083.9,1
40,98004,98004,33,108762.9801,201450069.7,1
41,98003,98003,33,120498.9209,317076887.8,1
42,98002,98002,33,102448.491,205568828,1
43,98001,98001,33,156155.466,532425522,1
44,98110,98110,35,261622.8892,757413746.9,1
45,98112,98112,33,66321.06934,88186447.44,1
46,98115,98115,33,77105.17754,181355906.8,1
47,98116,98116,33,46123.02154,81459759.98,1
48,98070,98070,33,272819.6849,1010295819,1
49,98072,98072,33,119472.977,376794579.7,1
50,98072,98072,61,78248.23776,151344183.3,1
51,98074,98074,33,115554.6683,327749795.9,1
52,98075,98075,33,125889.9978,290341211.6,1
53,98077,98077,33,117061.0954,419740022.1,1
54,98077,98077,61,50110.12701,75926072.9,1
55,98087,98087,61,68003.51564,156580447.3,1
56,98092,98092,33,263990.5893,1214591236,1
